epoch,train_loss,val_loss,lr
1,0.138698,0.142918,5.00e-05
2,0.139100,0.154358,4.99e-05
3,0.143999,0.154199,4.95e-05
4,0.143014,0.137319,4.88e-05
5,0.139642,0.132928,4.78e-05
6,0.143869,0.145301,4.67e-05
7,0.138953,0.138316,4.52e-05
8,0.150168,0.139744,4.36e-05
9,0.146066,0.125162,4.17e-05
10,0.140044,0.128844,3.97e-05
11,0.144373,0.160160,3.75e-05
12,0.146080,0.137869,3.52e-05
13,0.139413,0.136451,3.27e-05
14,0.142764,0.136536,3.02e-05
15,0.145439,0.134207,2.76e-05
16,0.145406,0.164783,2.50e-05
17,0.146365,0.138906,2.24e-05
18,0.149748,0.167561,1.98e-05
19,0.142246,0.153497,1.73e-05
20,0.139590,0.141738,1.48e-05
21,0.150925,0.132864,1.25e-05
22,0.151117,0.166363,1.03e-05
23,0.139854,0.161101,8.27e-06
24,0.143398,0.146902,6.42e-06
25,0.149924,0.139445,4.77e-06
26,0.144103,0.157469,3.35e-06
27,0.142584,0.137187,2.16e-06
28,0.137522,0.146695,1.22e-06
29,0.130646,0.146433,5.46e-07
30,0.141784,0.158178,1.37e-07
