epoch,train_loss,val_loss,lr
1,0.147551,0.140535,1.00e-04
2,0.147388,0.151423,9.94e-05
3,0.137333,0.156618,9.76e-05
4,0.147535,0.147978,9.46e-05
5,0.146717,0.129338,9.05e-05
6,0.145578,0.156015,8.54e-05
7,0.150300,0.157656,7.94e-05
8,0.144644,0.135774,7.27e-05
9,0.142246,0.147180,6.55e-05
10,0.149871,0.131626,5.78e-05
11,0.139594,0.137772,5.00e-05
12,0.144231,0.148438,4.22e-05
13,0.151276,0.137085,3.45e-05
14,0.158838,0.136810,2.73e-05
15,0.152281,0.144139,2.06e-05
16,0.141425,0.133591,1.46e-05
17,0.134523,0.161788,9.55e-06
18,0.139276,0.152551,5.45e-06
19,0.156317,0.140311,2.45e-06
20,0.149081,0.137824,6.16e-07
